time_ms,signal_mV
0.000000,812.4179
0.048193,766.9721
0.096386,712.8420
0.144578,621.7221
0.192771,432.7429
0.240964,264.5700
0.289157,128.7279
0.337349,-75.0308
0.385542,-281.0303
0.433735,-412.3992
0.481928,-567.0192
0.530120,-662.2735
0.578313,-700.5292
0.626506,-768.4905
0.674699,-735.8448
0.722892,-639.1150
0.771084,-547.5444
0.819277,-382.8870
0.867470,-261.3986
0.915663,-110.5408
0.963855,126.6309
1.012048,241.7164
1.060241,389.5673
1.108434,468.0454
1.156627,574.7858
1.204819,640.4271
1.253012,620.3738
1.301205,632.2070
1.349398,545.7657
1.397590,459.9240
1.445783,333.0045
1.493976,256.9000
1.542169,62.7791
1.590361,-112.1128
1.638554,-206.5537
1.686747,-383.6606
1.734940,-451.4524
1.783133,-581.0669
1.831325,-608.6230
1.879518,-579.7796
1.927711,-541.4661
1.975904,-498.7936
2.024096,-420.8503
2.072289,-317.4861
2.120482,-222.6669
2.168675,-70.6559
2.216867,69.8019
2.265060,234.8727
2.313253,330.0478
2.361446,369.9511
2.409639,489.2134
2.457831,509.5987
2.506024,509.6987
2.554217,518.6518
2.602410,477.0527
2.650602,397.1370
2.698795,255.0049
2.746988,155.9400
2.795181,51.9351
2.843373,-52.5937
2.891566,-203.2106
2.939759,-297.2111
2.987952,-402.9847
3.036145,-464.9033
3.084337,-448.1794
3.132530,-440.3783
3.180723,-454.2791
3.228916,-379.6924
3.277108,-325.3276
3.325301,-261.8156
3.373494,-135.1371
3.421687,2.5377
3.469880,71.8074
3.518072,214.4883
3.566265,200.7414
3.614458,360.7578
3.662651,395.4532
3.710843,415.2160
3.759036,429.4178
3.807229,357.0266
3.855422,357.5550
3.903614,307.9475
3.951807,255.6195
4.000000,113.9669
4.048193,9.0644
4.096386,-81.0558
4.144578,-137.8840
4.192771,-234.0139
4.240964,-321.5944
4.289157,-342.7009
4.337349,-378.9179
4.385542,-360.4145
4.433735,-383.1098
4.481928,-333.7822
4.530120,-277.1807
4.578313,-231.1751
4.626506,-104.2689
4.674699,-17.0754
4.722892,64.5614
4.771084,141.4647
4.819277,184.9759
4.867470,268.9318
4.915663,312.8205
4.963855,323.9654
5.012048,342.3129
5.060241,338.6466
5.108434,339.1309
5.156627,243.4220
5.204819,179.5574
5.253012,96.3299
5.301205,-29.2061
5.349398,-61.1500
5.397590,-133.4609
5.445783,-138.8512
5.493976,-258.0402
5.542169,-282.9645
5.590361,-311.2021
5.638554,-341.0693
5.686747,-266.6907
5.734940,-243.0134
5.783133,-193.9363
5.831325,-176.7201
5.879518,-51.2107
5.927711,-49.6973
5.975904,71.3581
6.024096,178.3616
6.072289,157.5161
6.120482,215.2954
6.168675,265.0593
6.216867,267.3417
6.265060,242.0122
6.313253,267.0465
6.361446,208.1874
6.409639,202.8714
6.457831,113.9509
6.506024,114.5105
6.554217,-8.4122
6.602410,-61.0939
6.650602,-92.8165
6.698795,-196.5181
6.746988,-202.2020
6.795181,-204.6244
6.843373,-292.6741
6.891566,-248.1709
6.939759,-231.9250
6.987952,-190.9141
7.036145,-201.6616
7.084337,-154.7589
7.132530,-53.4289
7.180723,-0.8085
7.228916,55.8229
7.277108,112.2204
7.325301,133.6910
7.373494,194.1403
7.421687,221.7814
7.469880,209.8634
7.518072,274.2166
7.566265,226.0732
7.614458,158.8889
7.662651,168.9953
7.710843,83.8510
7.759036,77.9628
7.807229,34.7339
7.855422,-66.7624
7.903614,-70.6645
7.951807,-126.6653
8.000000,-150.0521
8.048193,-146.3732
8.096386,-211.5091
8.144578,-223.7044
8.192771,-214.7134
8.240964,-189.5205
8.289157,-138.2667
8.337349,-87.6402
8.385542,-44.1446
8.433735,16.9672
8.481928,43.4229
8.530120,123.0011
8.578313,117.8912
8.626506,222.5332
8.674699,190.7521
8.722892,163.7799
8.771084,157.6333
8.819277,184.9829
8.867470,146.0050
8.915663,139.6608
8.963855,97.2714
9.012048,42.8741
9.060241,-19.1632
9.108434,-77.9888
9.156627,-90.4071
9.204819,-91.7417
9.253012,-134.6045
9.301205,-189.3619
9.349398,-162.6840
9.397590,-156.3501
9.445783,-177.4397
9.493976,-132.0212
9.542169,-107.3615
9.590361,-104.4638
9.638554,-30.1415
9.686747,13.4170
9.734940,64.3790
9.783133,98.7857
9.831325,68.3759
9.879518,103.3023
9.927711,155.8223
9.975904,163.4417
10.024096,162.2685
10.072289,235.8614
10.120482,136.0308
10.168675,125.5854
10.216867,91.2388
10.265060,50.4331
10.313253,-8.4246
10.361446,-15.6754
10.409639,-85.5241
10.457831,-99.3357
10.506024,-126.9100
10.554217,-127.0933
10.602410,-77.9199
10.650602,-181.1337
10.698795,-108.1853
10.746988,-149.4259
10.795181,-98.6037
10.843373,-32.6004
10.891566,-28.1966
10.939759,-25.4766
10.987952,14.2716
11.036145,77.4775
11.084337,66.6025
11.132530,109.3375
11.180723,117.7990
11.228916,106.1351
11.277108,174.5975
11.325301,128.4264
11.373494,47.1349
11.421687,82.1764
11.469880,36.5494
11.518072,47.2940
11.566265,-22.0155
11.614458,-32.6796
11.662651,-42.6265
11.710843,-55.4377
11.759036,-124.1014
11.807229,-113.7411
11.855422,-122.2458
11.903614,-125.2187
11.951807,-56.9715
12.000000,-77.4663
